Name,Brand,Price,DiscountedPrice,Category,SubCategory,Quantity,Description,BreadCrumbs
Satyam Chana Dal,Satyam,77,71,Grocery,Dals,500 gm,"OverviewChana Dal or Bengal Gram is used to make dal and many other dishes. This classic Chana dal recipe features sweet, nutty split Bengal gram pressure cooked and then lightly fried on the stovetop with a variety of spices and aromatics. It is highly nutritious and goes well with rice and roti.Key Features- Highly nutritious- High in Fibre- Low in Fat- High in ProteinAbout the BrandIt takes experience & expertise to deliver the right taste. Since the past 40 years, Satyam has been in the trade of Spices, Dry Fruits, Pulse, and Groceries. Keeping pace with consumer requirements, they have introduced a hygienically processed consumer pack of Satyam Spices, Dry-Fruits, Pulses, and Groceries.",Grocery > Dals
Tata Sampann 100% Organic Unpolished Chana Dal,Tata Sampann,190,171,Grocery,Dals,1 kg,"Overview:Chana dal is a staple in the Indian diet. It's nutritious and can be easily digested. Tata Sampann's Chana Dal has a rich flavour and aroma, and provides essential amino acids for complete protein. Used in a variety of soups, salads, sweets and savouries, chana dal is an essential in every household.Key Features:UnpolishedSource of proteinEasy to digestProvides essential amino acidsStorage Condition:Store in a cool and dry place.",Grocery > Dals
KMK Almond American (Badam),Kanji Manji Kothari,258,216,Grocery,Dry Fruits,200 gm,StorageStore in a cool and dry place. Keep away from sunlight and bad odour,Grocery > Dry Fruits
Tata Sampann Organic Unpolished Rajma Red,Tata Sampann,142,127,Grocery,Pulses,500 gm,"Overview Tata Sampann Red Rajma has the goodness of nature, natural taste and unpolished, produced without the use of chemical fertilizers and pesticides with an environmentally responsible and sustainable agriculture approach. Hygienically packed and certified as per the National Programme for Organic Production (NPOP), India. An important source of protein that is naturally available and helps us in making all your meals nutritious.Key Features- Organic pulses from the Tata Sampann- Sourced from certified organic farms",Grocery > Pulses
DMart Premia Almonds Salted,Premia,200,119,Grocery,Grocery/Dry Fruits,100 gm,"list of IngredientsCommodity: Almonds.Ingredients: Roasted Almonds (99%), Iodised Salt (1%).Shelf Life (Days/Months)Best before four months from packagingOther Must Know Information  - Packed in a BRC certified facility  - Allergen Information: Packed in a facility that handles tree nuts, Soya, Sulphites, and Dairy products.Storage instructions - Keep the product sealed to preserve freshness.- Refrigeration is recommended for longer storage life.",Grocery > Grocery/Dry Fruits
ProV Select California Almonds,ProV,749,374,Grocery,Dry Fruits,500 gm,"Key Features- Premium products inspiring healthier choices for nutritional living - Sourced from the finest orchards and choicest suppliers from India and abroad - A step towards wholesome goodnessAny Other Must-Know Information- Allergen advice : Packed in a facility that packs tree nuts. May contain dry fruits and other nutsIngredients- Almond kernelsBenefits- Almonds are known to be rich in proteinCare Instructions- Store in a cool, dry and hygienic placeManufacturer NameProv Foods Pvt LtdMarketed ByProv Foods Pvt LtdMarketer AddressProv Foods Private Limited, Gen 71/2, TTC Industrial Area, Gen 71/2, TTC Industrial Area, Navi Mumbai-400710, Navi Mumbai Municipal, Corporation (Thane Zone-2), Maharashtra-400710Customer Care Number022-62110900",Grocery > Dry Fruits
ProV Select California Independence,ProV,1349,600,Grocery,Dry Fruits,1 kg,"Key Features- Premium products inspiring healthier choices for nutritional living - Sourced from the finest orchards and choicest suppliers from India and abroad - A step towards wholesome goodnessAny Other Must-Know Information- Allergen advice : Packed in a facility that packs tree nuts. May contain dry fruits and other nutsIngredients- Almond kernelsBenefits- Almonds are known to be rich in proteinCare Instructions- Store in a cool, dry and hygienic placeManufacturer NameProv Foods Pvt LtdMarketed ByProv Foods Pvt LtdMarketer AddressProv Foods Private Limited, Gen 71/2, TTC Industrial Area, Gen 71/2, TTC Industrial Area, Navi Mumbai-400710, Navi Mumbai Municipal, Corporation (Thane Zone-2), Maharashtra-400710Customer Care Number022-62110900",Grocery > Dry Fruits
Moong Dal,,71,60,Grocery,Dals,500 gm,India,Grocery > Dals
Moong Dal,,139,124,Grocery,Dals,1 kg,India,Grocery > Dals
Nutraj Cashews,Nutraj,699,399,Grocery,Dry Fruits,500 gm,Key Features&bull; Nutritious &bull; Delicious &bull; Full of Magnesium &bull; Naturally High in Copper and PhosphorousIngredientsCashew NutsOther must know InformationRefrigerate for freshness and Natural taste,Grocery > Dry Fruits
Nutraj Cashews,Nutraj,299,199,Grocery,Dry Fruits,200 gm,Key Features&bull; Nutritious &bull; Delicious &bull; Full of Magnesium &bull; Naturally High in Copper and PhosphorousIngredientsCashew NutsOther must know InformationRefrigerate for freshness and Natural taste,Grocery > Dry Fruits
Premia Regular Kaju (Cashews) - 320,Premia,121,99,Grocery,Grocery/Dry Fruits,100 gm,"
Cashews are low in sugar and rich in fiber, heart-healthy fats, and plant protein. They're also a good source of copper, magnesium, and manganese - nutrients important for energy production, brain health, immunity, and bone health.

Cashew kernels are graded on the basis of their size, shape, colour. A grade is denoted by an alphabet and a number. For eg: W 320 would mean whole 320. The number 320 signifies how many kernels are there in 1 pound (454 grams) of cashew. That's how you get grades like W210, W240, W320, etc.

Below are some of the grades of whole kernels:
- W-180: 'King of Cashew', they are larger in size and very expensive.
- W-210: Are popularly known as 'Jumbo' nuts.
- W-240: It is an attractive grade which is reasonably priced.
- W-320: Are the most popular among cashew kernels and highest in terms of availability, worldwide.
- W-450: Are the smallest and cheapest whole kernels and hence the favourite among low priced whole grades.
",Grocery > Grocery/Dry Fruits
Premia Regular Kaju (Cashews) - 320,Premia,257,198,Grocery,Grocery/Dry Fruits,200 gm,Ingredients CashewsStorageStore in a cool and dry place,Grocery > Grocery/Dry Fruits
Premia Regular Kaju (Cashews) - 320,Premia,595,460,Grocery,Grocery/Dry Fruits,500 gm,Ingredients CashewsStorageStore in a cool and dry place,Grocery > Grocery/Dry Fruits
Moong Dal Chilti,,70,58,Grocery,Dals,500 gm,India,Grocery > Dals
Moong Dal Chilti,,140,112,Grocery,Dals,1 kg,India,Grocery > Dals
Tata Sampann Moong Dal,Tata,175,148,Grocery,Dals,1 kg,"Overview:Tata Sampann Organic Moong Dal is sourced from certified organic farms bringing 100% organic, unpolished pulses that retain their goodness and natural taste. Produced using environmentally responsible and sustainable agricultural approaches i.e. the absence of chemical fertilizers and pesticides, Tata Sampann Organic Moong Dal is an important source of proteins making all meals healthy and nutritious.These dals are hygienically packed in facilities meeting the food safety standards thereby certified as per the National Programme for Organic Production (NPOP), India.Key Features100% Organic Pulses from the Tata Sampann.Sourced from organic certified farms.Goodness of Nature - Natural Taste and Unpolished.Produced without the use of chemical fertilizers and pesticides with an environmentally responsible and sustainable agriculture approach.Hygienically packed in facility meeting food safety standards.Storage ConditionStore in a cool and dry place.",Grocery > Dals
Tata Sampann Moong Dal,Tata,88,79,Grocery,Dals,500 gm,"Overview:Tata Sampann Organic Moong Dal is sourced from certified organic farms bringing 100% organic, unpolished pulses that retain their goodness and natural taste. Produced using environmentally responsible and sustainable agricultural approaches i.e. the absence of chemical fertilizers and pesticides, Tata Sampann Organic Moong Dal is an important source of proteins making all meals healthy and nutritious.These dals are hygienically packed in facilities meeting the food safety standards thereby certified as per the National Programme for Organic Production (NPOP), India.Key Features100% Organic Pulses from the Tata Sampann.Sourced from organic certified farms.Goodness of Nature - Natural Taste and Unpolished.Produced without the use of chemical fertilizers and pesticides with an environmentally responsible and sustainable agriculture approach.Hygienically packed in facility meeting food safety standards.Storage ConditionStore in a cool and dry place.",Grocery > Dals
Kalbavi Cashews (Kaju),Kalbavi,650,459,Grocery,Dry Fruits,500 gm,Key Features&bull; Crunchy&bull; Healthy&bull; TastyIngredientsCashewsOther must know InformationAllergen Advice: Contains tree nuts.,Grocery > Dry Fruits
Premia Kaju Tukda (Cashews),Premia,129,99,Grocery,Grocery/Dry Fruits,100 gm,Ingredients CashewsStorageStore in a cool and dry place,Grocery > Grocery/Dry Fruits
Premia Kaju Tukda (Cashews),Premia,251,195,Grocery,Grocery/Dry Fruits,200 gm,India,Grocery > Grocery/Dry Fruits
Premia Kaju Tukda (Cashews),Premia,594,468,Grocery,Grocery/Dry Fruits,500 gm,India,Grocery > Grocery/Dry Fruits
Chowli Big,,64,52,Grocery,Pulses,500 gm,"BenefitsThe potassium in lobia helps balance the excess sodium in their diets and keeps the blood pressure at a healthy level.Lobia also contains vitamin B1, or thiamine, which helps maintain the health of nerves and is also essential for glucose metabolism in the body, and vitamin A, a vision-enhancing nutrient.Lobia is loaded with fiber, and the kind it has is non as soluble fiber, which binds to cholesterol and helps throw it out of the body, besides keeping constipation away. How to UseIn traditional Southern cuisine, the cooked beans are mixed with meat, spices, and leafy greens.It can be added to a variety of recipes, including soups, stews, and salads. Any Other Must-Know InformationCalories: 200,Carbs: 11 g,Fat: 22 g,Protein: 5 g.",Grocery > Pulses
Chowli Premium,,82,75,Grocery,Pulses,500 gm,"BenefitsThe potassium in lobia helps balance the excess sodium in their diets and keeps the blood pressure at a healthy level.Lobia also contains vitamin B1, or thiamine, which helps maintain the health of nerves and is also essential for glucose metabolism in the body, and vitamin A, a vision-enhancing nutrient.Lobia is loaded with fiber, and the kind it has is non as soluble fiber, which binds to cholesterol and helps throw it out of the body, besides keeping constipation away. How to UseIn traditional Southern cuisine, the cooked beans are mixed with meat, spices, and leafy greens.It can be added to a variety of recipes, including soups, stews, and salads. Any Other Must-Know InformationCalories: 200,Carbs: 11 g,Fat: 22 g,Protein: 5 g.",Grocery > Pulses
Premia Kaju,Premia,552,409,Grocery,Dry Fruits,500 gm,IngredientsCashewsStorageStore in a cool and dry placeAllergen AdviceContains tree nuts,Grocery > Dry Fruits
Chowli Small,,62,52,Grocery,Pulses,500 gm,"BenefitsThese are rich in soluble Fibre, Protein, Carbohydrates and Iron. They are well known for their texture and their ability to absorb flavours.",Grocery > Pulses
Premia Cashew Broken,Premia,537,423,Grocery,Dry Fruits,500 gm,IngredientsCashewsStorageStore in a cool and dry placeAllergen AdviceContains tree nuts,Grocery > Dry Fruits
DMart Healthy Choice Unpolished Moong Dal,DMart Healthy Choice,160,140,Grocery,Dals,1 kg,Ingredients- Green Gram SplitOther must know InformationBest before 4 months from packaging.Storage InstructionsStore in a cool and dry place.,Grocery > Dals
Premia Kaju Special (Cashews),Premia,140,116,Grocery,Grocery/Dry Fruits,100 gm,Ingredients CashewsStorageStore in a cool and dry place,Grocery > Grocery/Dry Fruits
Premia Kaju Special (Cashews),Premia,278,220,Grocery,Grocery/Dry Fruits,200 gm,Ingredients CashewsStorageStore in a cool and dry place,Grocery > Grocery/Dry Fruits
Premia Kaju Special (Cashews),Premia,646,485,Grocery,Grocery/Dry Fruits,500 gm,Ingredients CashewsStorageStore in a cool and dry place,Grocery > Grocery/Dry Fruits
Kokan Gem Goa Cashew Classic (Kaju),Kokan Gem,650,471,Grocery,Dry Fruits,500 gm,OverviewKonkan Gem processes cashew seed only from Goa and the border of Goa and Konkan. These cashews are great in taste and are known to be one of the best in the world.IngredientsCashewsOther must know InformationBest before Nine months from packaging.,Grocery > Dry Fruits
Kokan Gem Goa Cashew Premium (Kaju),Kokan Gem,750,579,Grocery,Dry Fruits,500 gm,OverviewKonkan Gem processes cashew seed only from Goa and the border of Goa and Konkan. These cashews are great in taste and are known to be one of the best in the world.IngredientsCashewsOther must know InformationBest before Nine months from packaging.,Grocery > Dry Fruits
Tata Sampann Moong Chilka,TATA,84,75,Grocery,Dals,500 gm,"Overview:Packed with protein and low on carbs, green gram or moong dal is one of the best vegetarian superfoods. An integral part of the Indian diet, it is a good and filling option for those who want to shed kilos. Studies have shown that it helps protect you from skin cancer and skin pollution. A must eat for all the metro dwellers of India.Known to be one of the best natural sources of protein, Tata Sampann Moong Chilka is unpolished, i.e. it does not undergo any artifical polishing with water, oil or leather, thereby retaining its goodness and protein content.Key FeaturesAids in weight lossNaturally healthyProcessed in hygienic conditions5-step purity processStorage ConditionStore in a cool and dry place.",Grocery > Dals
Chowli Red,,77,67,Grocery,Pulses,500 gm,"BenefitsThe potassium in lobia helps balance the excess sodium in their diets and keeps the blood pressure at a healthy level.Lobia also contains vitamin B1, or thiamine, which helps maintain the health of nerves and is also essential for glucose metabolism in the body, and vitamin A, a vision-enhancing nutrient.Lobia is loaded with fiber, and the kind it has is non as soluble fiber, which binds to cholesterol and helps throw it out of the body, besides keeping constipation away. How to UseIn traditional Southern cuisine, the cooked beans are mixed with meat, spices, and leafy greens.It can be added to a variety of recipes, including soups, stews, and salads. Any Other Must-Know InformationCalories: 150,Carbs: 0 g,Fat: 0 g,Protein: 0 g.",Grocery > Pulses
Satyam Moong Dal,Satyam,109,101,Grocery,Dals,500 gm,"Overview Whole Mataki or Moth dal is a small, brown-coloured, oblong-shaped bean, which is very common in Indian cuisine. These have a greater concentration of vitamins, minerals, proteins and enzymes. Sprouts are easily digestible. It also contains dietary fibre, Folate, all with virtually no fat. They are a good source of potassium and iron.",Grocery > Dals
Tata Sampann 100% Organic Unpolished Moong Dal,Tata Sampann,275,246,Grocery,Dals,1 kg,"Overview:One of the pulses that is used in everyday cooking, Tata Sampann Unpolished Yellow Moong Dal is a delicious dal that enhances the flavour of your staple dishes. This dal is also rich in proteins to keep you healthy. It contains minerals such as iron, copper, potassium, and magnesium. It also contains vitamin B6 and folate.Commonly used in preparing sambar and dal recipes that pair well with rice or parathas. The dal is of the best quality and is hygienically packed. Has low saturated fats and more dietary fibre that keeps you from gaining weight.Key FeaturesUnpolishedRich source of ProteinDoes not contain cholesterol, impurities and added chemicalsPopularly used in making salads, curries and sproutsStorage ConditionStore in a cool and dry place.",Grocery > Dals
KMK Cashew Nut (Kaju),KMK,325,199,Grocery,Dry Fruits,200 gm,IngredientsCashews,Grocery > Dry Fruits
Premia Premium Kaju (Cashews) - 210,Premia,168,132,Grocery,Grocery/Dry Fruits,100 gm,Ingredients CashewsStorageStore in a cool and dry place,Grocery > Grocery/Dry Fruits
Premia Premium Kaju (Cashews) - 210,Premia,341,262,Grocery,Grocery/Dry Fruits,200 gm,India,Grocery > Grocery/Dry Fruits
Premia Premium Kaju (Cashews) - 210,Premia,738,566,Grocery,Grocery/Dry Fruits,500 gm,"
Cashews are low in sugar and rich in fiber, heart-healthy fats, and plant protein. They're also a good source of copper, magnesium, and manganese - nutrients important for energy production, brain health, immunity, and bone health.

Cashew kernels are graded on the basis of their size, shape, colour. A grade is denoted by an alphabet and a number. For eg: W 210 would mean whole 210. The number 210 signifies how many kernels are there in 1 pound (454 grams) of cashew. That's how you get grades like W210, W240, W320, etc.

Below are some of the grades of whole kernels:
- W-180: 'King of Cashew', they are larger in size and very expensive.
- W-210: Are popularly known as 'Jumbo' nuts.
- W-240: It is an attractive grade which is reasonably priced.
- W-320: Are the most popular among cashew kernels and highest in terms of availability, worldwide.
- W-450: Are the smallest and cheapest whole kernels and hence the favourite among low priced whole grades.
",Grocery > Grocery/Dry Fruits
24 Mantra Organic Moong Dal,24 Mantra Organic,135,110,Grocery,Dals,500 gm,"  Key Features100% OrganicGrown without synthetic PesticidesGrown without synthetic GMOsUnpolishedUnadulteratedBest protein source for vegetariansBeneficial to reduce risk cardiovascular disease, type 2 diabetes, and some cancersFast to cook and easy to digest.Good source of plant proteinHelps manage chronic diseasesMaintains good gut healthLow Glycemic IndexBenefitsThe 24 mantra moong dal is a product that brings you this wonderful pulses with its trademark quality. The protein and carbohydrate rich dal is an ingredient in a large number of cuisines across asia. Its golden colour is a common sight in many a culture and is salted to make a wonderful snack. The 24 mantra moong dal is a legume that is totally organic and is painstakingly packed to keep it fresh and free from adulterants. Coming with polythene packs, the dal is kept fresh right from the beginning till it reaches your hands. All products at 24 mantra are 100 percent organic certified.Any Other Must-Know InformationPulses are a boon to vegetarians and vegans. It is a good source of calcium, potassium, and magnesium. 24 Mantra Organic yellow moong dal is a good source of plant protein. There is research that says that substituting animal protein with plant protein improves lipid profile. Therefore, effective in reducing the risk of heart-related problems. Similar positive results were seen when animal protein is replaced by plant protein on glucose levels in the blood. Yellow moong dal has a low glycemic index, therefore we can call dals diabetic-friendly!About the BrandA decade and more later, our intent to transform the food habits of India and Indians to healthier and organic options remains steadfast. Sresta began with a unified, overarching purpose to change lives and do our bit for the country's march towards a healthy future. They are passionate about organic foods. They want you and your family to have better, chemical and pesticide-free options. We want farmers to have a sustainable living. They want a better planet. Sresta in fact, want you to live an organic life. ",Grocery > Dals
Satyam Moong Chilti,Satyam,100,93,Grocery,Dals,500 gm,Product Information Best before 6 months from packing,Grocery > Dals
DMart Premia Cashews Salted,Premia,215,129,Grocery,Grocery/Dry Fruits,100 gm,"IngredientsCommodity: Cashew Nuts.Ingredients: Roasted Cashew Nuts (98.8%), Iodised Salt (1.2%).Shelf Life (Days/Months)Best before four months from packagingOther Must Know Information- Packed in a BRC certified facility - Allergen Information: Packed in a facility that handles tree nuts, Soya, Sulphites, and Dairy products.Storage instructions - Keep the product sealed to preserve freshness.- Refrigeration is recommended for longer storage life.",Grocery > Grocery/Dry Fruits
Kokan Gem Goa Cashews Tukda,Kokan Gem,550,479,Grocery,Dry Fruits,500 gm,OverviewKonkan Gem processes cashew seed only from Goa and the border of Goa and Konkan. These cashews are great in taste and are known to be one of the best in the world.IngredientsCashewsOther must know InformationBest before Nine months from packaging.,Grocery > Dry Fruits
Satyam Chowla,Satyam,126,117,Grocery,Pulses,500 gm,"OverviewChowla or black eyed beans are white in colour and are commonly used in the preparation of many traditional dishes. It has a nutty, savoury and creamy taste and is packed with nutrient and fibre. It has many other minerals such as Zinc, Iron Potassium and much more. It is also a good source of Vitamin BKey Features- Good source of Vitamin B - High in Fibre - Rich in Iron, Zinc, and Magnesium- Protects the heart from various diseases- Reduces insomnia",Grocery > Pulses
Nutraj Broken Cashew,Nutraj,499,399,Grocery,Dry Fruits,400 gm,"IngredientsCashew nutsAllergenThis product has been packed in an integrated nuts and dried fruits processing unit, and may contain occasional traces of nuts and dried fruits.",Grocery > Dry Fruits
Organic Tattva Moong Dal Whole,Organic Tattva,125,90,Grocery,Dals,500 gm,"OverviewOrganic Tattva's Organic Moong Dal Whole is full of iron, calcium and protein. Along with these nutrients, a bowl of Organic Moong Dal Whole also contains dietary fibres, sodium and all the other nutrients that are required for your body. A 100g serving of Organic Moong Dal Whole contains 0g trans fat and 0g sugar. The calorie count per serving of Organic Moong Dal Whole is 349. If leading a healthy life is your mantra, then switch to Organic Moong Dal Whole by Organic Tattva today!Key Features100% veganGluten freeNo additivesOrganically grown without pesticides and fertilizersCertified organicBenefitsMoong Dal goes through a very stringent growth process which makes it nutritious and devoid of any artificial supplements. Organic Tattva's moong is extremely rich in nutrients, the shine and rich colour is not artificial but a result of a stringent growing process.Care InstructionsStore in a cool & dry place.About the BrandSince 1969, Mehrotra Impex (India), has been a manufacturer and exporter of handicrafts, household, kitchenware and decorative items. In 2012, the company ventured into the Organic food Business with their domestic brand, Organic Tattva, of everyday grocery items for the Indian household. They are one of the leaders in the organic food industry, solely dedicated to providing the highest quality products, right from the field all the way to your kitchen.",Grocery > Dals
DMart Premia Cashews Black Pepper,Premia,215,129,Grocery,Grocery/Dry Fruits,100 gm,"list of IngredientsCommodity: Cashew Nuts.Ingredients: Roasted Cashew nuts (94%), Iodised salt (2%), Black pepper, Maltodextrin, Stabilizer (E415), Sugar, Anticaking agent (E551).Contains Added Flavour Natural & Nature Identical Flavouring Substances (Black Pepper).Shelf Life (Days/Months)Best before four months from packagingAny other Legal, QA, mandatory requirement- Packed in a BRC certified facility - Allergen Information: Packed in a facility that handles tree nuts, Soya, Sulphites, and Dairy products.Storage instructions - Keep the product sealed to preserve freshness.- Refrigeration is recommended for longer storage life.",Grocery > Grocery/Dry Fruits
ProV Select Cashews,ProV,849,424,Grocery,Dry Fruits,500 gm,"Key Features- Premium products inspiring healthier choices for nutritional living - Sourced from the finest orchards and choicest suppliers from India and abroad - A step towards wholesome goodnessAny Other Must-Know Information- Allergen advice : Packed in a facility that packs tree nuts. May contain dry fruits and other nutsIngredients- Cashew kernelsBenefits- Cashews are known to be rich in proteinCare Instructions- Store in a cool, dry and hygienic placeManufacturer NameProv Foods Pvt LtdMarketed ByProv Foods Pvt LtdMarketer AddressProv Foods Private Limited, Gen 71/2, TTC Industrial Area, Gen 71/2, TTC Industrial Area, Navi Mumbai-400710, Navi Mumbai Municipal, Corporation (Thane Zone-2), Maharashtra-400710Customer Care Number022-62110900",Grocery > Dry Fruits
Tur Dal Latur,,78,63,Grocery,Dals,500 gm,India,Grocery > Dals
Tur Dal Latur,,157,131,Grocery,Dals,1 kg,India,Grocery > Dals
Tata Sampann Toor Dal,TATA,89,80,Grocery,Dals,500 gm,India,Grocery > Dals
Tata Sampann Toor Dal,TATA,184,129,Grocery,Dals,1 kg,India,Grocery > Dals
Tur Dal Premium Gujarat,,88,76,Grocery,Dals,500 gm,India,Grocery > Dals
Tur Dal Premium Gujarat,,180,142,Grocery,Dals,1 kg,India,Grocery > Dals
Premia Pista Salty (Pistachio),Premia,184,145,Grocery,Grocery/Dry Fruits,100 gm,"Ingredients Pistachios, Salt, Citric AcidStorageStore in a cool and dry place",Grocery > Grocery/Dry Fruits
Premia Pista Salty (Pistachio),Premia,380,292,Grocery,Grocery/Dry Fruits,200 gm,India,Grocery > Grocery/Dry Fruits
DMart Healthy Choice Unpolished Toor Dal,DMart Healthy Choice,184,148,Grocery,Dals,1 kg,"Key Features- Blend of 10 Aromatic Roasted Spices - Fortified with Iron, Iodine, Vitamin A - Add Magic of taste to your everyday dishes - Delight your kids with extraordinary taste!IngredientsUnpolished Toor DalOther must know InformationBest before 4 months from packagingStorage InstructionsStore in a cool and dry place",Grocery > Dals
Premia Pista Plain (Pistachios),Premia,334,235,Grocery,Grocery/Dry Fruits,100 gm,"Ingredients Pistachios, UnshellStorageStore in a cool and dry place",Grocery > Grocery/Dry Fruits
Tata Sampann 100% Organic Unpolished Toor Dal,Tata Sampann,260,234,Grocery,Dals,1 kg,"Overview:A staple in the Indian diet, toor dal is used to prepare sambar, dal tadka, the maharashtrian varan and more. Tata Sampann's Toor Dal is of best quality from select farms in Latur. It is rich in protein, vitamins and iron and can be enjoyed well with rotis or rice.Toor Dal is one of India's favourite dals. Whether it is the famous North Indian Dal Tadka, Lucknow's popular Dal Gosht, irresistible Gujarati Khichdi and even a South Indian Sambar, Toor dal is used across the country because of its aroma, taste and quick cooking. Tata Sampann Toor Dal is sourced from Latur, Maharashtra; which is home to superior quality Toor Dal.Known to be one of the best natural sources of protein, Tata Sampann Toor Dal is unpolished, i.e. it does not undergo any artificial polishing with water, oil or leather, thereby retaining its goodness and protein content. The 5-Step Purity process ensures that Tata Sampann Toor Dal grains are uniform, cleaner and superior.Key Features:UnpolishedProtein richNo cholesterol, additives or impuritiesStorage Condition:Store in a cool and dry place.",Grocery > Dals
Nutraj Iranian Pistachios (Pista),Nutraj,449,249,Grocery,Dry Fruits,200 gm,"AllergenThis product has been packed in an integrated nuts and dried fruits processing unit, and may contain occasional traces of nuts and dried fruits.",Grocery > Dry Fruits
Nutraj Premium California Pistachios (Pista),Nutraj,379,239,Grocery,Dry Fruits,200 gm,"AllergenThis product has been packed in an integrated nuts and dried fruits processing unit, and may contain occasional traces of nuts and dried fruits.",Grocery > Dry Fruits
Premia Soyawadi,Premia,42,33,Grocery,Pulses,200 gm,India,Grocery > Pulses
Satyam Tur (Toor) Dal,Satyam,109,101,Grocery,Dals,500 gm,"OverviewToor dal is a staple to Indian cooking. It is used in many famous dishes such as Dal Tadka, Dal Gosht, Khichdi and much more! It has a charming aroma and is renowned for its taste. Toor dal is also packed with proteins, vitamins and nutrients.Key Features- Protein rich- No cholesterol- Rich in Iron",Grocery > Dals
